	year	author	title	filename code	api code	lang
454	1908	Vogt, Nils Collett	Digte i udvalg	2009071403009	2009071403009	nob
456	1930	Vogt, Nils Collett	Et liv i dikt. B. 2	2008021403002	2008021403002	nno
459	1922	Vālmīki	Rama-kvædet : eit gamalindisk dikt	2012100907114	2012100907114	nno
463	1919	Kinck, Hans E.	Stammens røst : fem italienske digtere fra vor tid	2006082800020	2006082800020	nob
464	1927	Kinck, Hans E.	Mands hjerte : digte	2008041004045	2008041004045	nob
465	1906	Kinck, Hans E.	Agilulf den Vise : dramatisk Digt	2008040204086	2008040204086	nob
475	1916	Bergh, Hallvard	Norske dikt i utval	2008040704071	2008040704071	nno
494	1976	Landstad, M.B.	M.B. Landstads Kirkesalmebok : revidert og forøket av Gustav Jensen med bistand av en komité	2013012206081	2013012206081	nob
499	1929	Vislie, Vetle	Åsmund Vinje : liv og dikting	2008041104013	2008041104013	nno
500	1911	Berge, Rikard	Bygdedikting fraa Telemarki. 3 : Torgeir Vinsvaal	2012101007011	2012101007011	nno
505	1915	Solstad, Einar	Digte	2011050604050	2011050604050	nob
506	1918	Solstad, Einar	Haven : nye digte	2010070606094	2010070606094	nob
514	1920	Collin, Chr.	Leo Tolstoi : Ruslands digter-profet	2006083100021	2006083100021	nob
515	1914	Dysthe, Carl S.	Landssangerfesten i Kristiania 1914, 26. juni - 1. juli : Festskrift med Program	2011041820036	2011041820036	nob
525	1918	Wergeland, Henrik	Spaniolen : et digt	2010060906001	2010060906001	nob
532	1912	Ebbell, Bendix	Vort fædreland : historiske digte for ungdom	2012091208049	2012091208049	nob
536	1921	Eskeland, Lars	Uppveg : dikt	2012101105061	2012101105061	nno
537	1912	Eskeland, Lars	Stykke til diktat og attforteljing : samla og tillaga til skulebruk eller uppøving paa eigi hand	2008040404048	2008040404048	nno
538	1926	Eskeland, Lars	Ungdom : dikt i utval	2010053106046	2010053106046	nno
545	1926	Mortensson-Egnund, Ivar	Gjallarbrui : ei diktbok um Draumkvedeskalden : (ein norsk mystikar i millomalderen) ; tillegg: Draumkvedet i ny uppsetjing	2006083000125	2006083000125	nno
552	1910	Vinje, A.O. (Aasmund Olavsson)	Lyriske dikt : eit utval	2008040804104	2008040804104	nno
553	1941	Zwilgmeyer, Dagfinn	Nordlandssanger : i herr Petters fotefar	2007011001018	2007011001018	nob
557	1920	Holme, Edin	Menneskesønnen : et digt	2010070605045	2010070605045	nob
558	1934	Holme, Edin	Dikterverker. 4 : Høvdinger ; Tonen fra himlen	2011041408047	2011041408047	nob
559	1934	Holme, Edin	Dikterverker. 1 : Ildprofeten ; Menneskesønnen	2011042608056	2011042608056	nob
560	1934	Holme, Edin	Dikterverker. 3 : Omkring nasareeren ; Ukjente verdener	2011041408046	2011041408046	nob
561	1934	Holme, Edin	Dikterverker. 2 : Mannen fra Tarsus	2011041408091	2011041408091	nob
562	1906	Holme, Edin	Menneskesønnen : et digt	2007073010003	2011041820007	nob
563	1915	Holme, Edin	Ildprofeten : et episk digt	2006120701085	2007080110001	nob
564	1918	Fjørtoft, Laurits	En blandet buket : dikte	2012030208173	2012030208173	nob
569	1911	Janson, Kristofer	Digte : utgivne paa hans syttiaarige fødselsdag, femte mai 1911	2012071208112	2012071208112	nob
572	1981	Birkeland, Rune	Norsk salmebok : forslag til felles salmebok for Den norske kirke : delutredning	2007062904043	2007062904043	nob
574	1909	Nilsen, Karen	Mens dagene glider : nye digte til beslægtede sjæle	2013061808193	2013061808193	nob
583	1918	Skredsvig, Christian	"""Salomos høisang"""	2006082800028	2006082800028	nob
586	1948	Grieg, Nordahl	Samlede dikt	2011040806110	2011040806110	nob
587	1946	Grieg, Nordahl	Håbet : dikt	2013012806125	2013012806125	nob
588	1925	Grieg, Nordahl	Stene i strømmen : digte	2013070308043	2013070308043	nob
589	1947	Grieg, Nordahl	Samlede dikt	2012082408040	2012082408040	nob
590	1950	Grieg, Nordahl	Samlede dikt	2011102708060	2011102708060	nob
591	1912	Munthe, Margrethe	Aase fiskerpike : eventyrkomedie med sange til norske folkemelodier	2013073008139	2013073008139	nob
